["in","LEFT"]
["out_1","RIGHT"]
["out_2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(102, 3)
1.9330052426599325e+14 6.5404946910959827e-01 7.1723183330516465e+00
1.9342669954292928e+14 6.5390357630449725e-01 7.3680185785413777e+00
1.9355287481986531e+14 6.5375005752828141e-01 7.5637066115629485e+00
1.9359660086208747e+14 6.5369502898107423e-01 7.6315194246222458e+00
1.9363532405457916e+14 6.5364550325705439e-01 7.6915722867092926e+00
1.9367905009680134e+14 6.5358868132204373e-01 7.7593822664032510e+00
1.9380522537373738e+14 6.5341939478843136e-01 7.9550452416114865e+00
1.9393140065067341e+14 6.5324233916942887e-01 8.1506951944991766e+00
1.9405757592760944e+14 6.5305783776398907e-01 8.3463318418362640e+00
1.9418375120454544e+14 6.5286635604821708e-01 8.5419550495304861e+00
1.9430992648148147e+14 6.5266843845736677e-01 8.7375648947419471e+00
1.9443610175841750e+14 6.5246463046968795e-01 8.9331616873446631e+00
1.9456227703535353e+14 6.5225539768829977e-01 9.1287459435120564e+00
1.9468845231228956e+14 6.5204105498156151e-01 9.3243183116719184e+00
1.9481462758922559e+14 6.5182171809055733e-01 9.5198794590501379e+00
1.9494080286616162e+14 6.5159728741910627e-01 9.7154299342562194e+00
1.9506697814309762e+14 6.5136746928324918e-01 9.9109700266570755e+00
1.9519315342003366e+14 6.5113183429740229e-01 1.0106499645675441e+01
1.9531932869696969e+14 6.5088990661357915e-01 1.0302018242054315e+01
1.9544550397390572e+14 6.5064127231386881e-01 1.0497524788491031e+01
1.9557167925084175e+14 6.5038569126523949e-01 1.0693017829326218e+01
1.9569785452777778e+14 6.5012319489673986e-01 1.0888495599170156e+01
1.9582402980471381e+14 6.4985415308458006e-01 1.1083956199817372e+01
1.9595020508164981e+14 6.4957929669069070e-01 1.1279397815115191e+01
1.9607638035858584e+14 6.4929968794982973e-01 1.1474818936146402e+01
1.9620255563552188e+14 6.4901663812022503e-01 1.1670218565411721e+01
1.9632873091245791e+14 6.4873157960234906e-01 1.1865596369441702e+01
1.9645490618939394e+14 6.4844590695356907e-01 1.2060952754562425e+01
1.9658108146632997e+14 6.4816080677970944e-01 1.2256288849870272e+01
1.9670725674326600e+14 6.4787709946713001e-01 1.2451606393674743e+01
1.9683343202020200e+14 6.4759511556815452e-01 1.2646907533128781e+01
1.9695960729713803e+14 6.4731462623660063e-01 1.2842194559606067e+01
1.9708578257407406e+14 6.4703484075134865e-01 1.3037469612727344e+01
1.9721195785101009e+14 6.4675447561506505e-01 1.3232734392193906e+01
1.9733813312794612e+14 6.4647189006136552e-01 1.3427989917641234e+01
1.9746430840488216e+14 6.4618527334534159e-01 1.3623236372171091e+01
1.9759048368181819e+14 6.4589286127277523e-01 1.3818473055391085e+01
1.9771665895875419e+14 6.4559315424689678e-01 1.4013698457808340e+01
1.9784283423569022e+14 6.4528510756431701e-01 1.4208910452059833e+01
1.9796900951262625e+14 6.4496826718813516e-01 1.4404106579915535e+01
1.9809518478956228e+14 6.4464283061218863e-01 1.4599284399631573e+01
1.9822136006649831e+14 6.4430962197151898e-01 1.4794441848192363e+01
1.9834753534343434e+14 6.4396998201379074e-01 1.4989577568898273e+01
1.9847371062037038e+14 6.4362558535793502e-01 1.5184691157433210e+01
1.9859988589730638e+14 6.4327820796119106e-01 1.5379783288861722e+01
1.9872606117424241e+14 6.4292947537631906e-01 1.5574855702875100e+01
1.9885223645117844e+14 6.4258062606347954e-01 1.5769911043131540e+01
1.9897841172811447e+14 6.4223232311875689e-01 1.5964952566286509e+01
1.9910458700505050e+14 6.4188454230295344e-01 1.6159983754612526e+01
1.9923076228198653e+14 6.4153655481624194e-01 1.6355007880452995e+01
1.9935693755892256e+14 6.4118701101572462e-01 1.6550027579072005e+01
1.9948311283585856e+14 6.4083411775404764e-01 1.6745044487440172e+01
1.9960928811279459e+14 6.4047588898766339e-01 1.6940058999734919e+01
1.9973546338973062e+14 6.4011043852954852e-01 1.7135070176454626e+01
1.9986163866666666e+14 6.3973627685764611e-01 1.7330075824649324e+01
("out_1","mode 1",1,"in",1,"transmission")
(102, 3)
1.8737028625000000e+14 6.5716720622261848e-01 -2.0440106628000931e+00
1.8749646152693603e+14 6.5716852345285071e-01 -1.8476062961455890e+00
1.8762263680387206e+14 6.5716700990257348e-01 -1.6512115793206854e+00
1.8774881208080809e+14 6.5716270337541516e-01 -1.4548265888408383e+00
